We,n,Pr,K,lambda,S,REXC_F(U),REXC_F(L)
0.5,0.5,2,1,-2.6,2,7.940276278,4.465260283
0.51,0.5,2,1,-2.6,2,8.016415582,4.410628892
0.52,0.5,2,1,-2.6,2,8.087718229,4.358853191
0.53,0.5,2,1,-2.6,2,8.154638924,4.309612239
0.54,0.5,2,1,-2.6,2,8.217570127,4.262639529
0.55,0.5,2,1,-2.6,2,8.276852374,4.217711704
0.56,0.5,2,1,-2.6,2,8.332786783,4.174640478
0.57,0.5,2,1,-2.6,2,8.385640067,4.133263955
0.58,0.5,2,1,-2.6,2,8.435649158,4.093441971
0.59,0.5,2,1,-2.6,2,8.483027119,4.055053451
0.6,0.5,2,1,-2.6,2,8.527966211,4.017991164
0.61,0.5,2,1,-2.6,2,8.570638952,3.982161191
0.62,0.5,2,1,-2.6,2,8.611203149,3.947480623
0.63,0.5,2,1,-2.6,2,8.649801452,3.913873627
0.64,0.5,2,1,-2.6,2,8.686564179,3.881274641
0.65,0.5,2,1,-2.6,2,8.721610716,3.849621929
0.66,0.5,2,1,-2.6,2,8.755050377,3.818862571
0.67,0.5,2,1,-2.6,2,8.786983483,3.788944465
0.68,0.5,2,1,-2.6,2,8.817501976,3.759824728
0.7,0.5,2,1,-2.6,2,8.874630185,3.703814611
0.5,0.4,2,1,-2.6,2,8.843410332,4.126864045
0.5,0.41,2,1,-2.6,2,8.758836315,4.155559743
0.5,0.42,2,1,-2.6,2,8.673004172,4.185172235
0.5,0.43,2,1,-2.6,2,8.58593754,4.215767251
0.5,0.44,2,1,-2.6,2,8.497644043,4.247421028
0.5,0.45,2,1,-2.6,2,8.40811542,4.280217281
0.5,0.46,2,1,-2.6,2,8.317326296,4.314252184
0.5,0.47,2,1,-2.6,2,8.225230069,4.349635056
0.5,0.48,2,1,-2.6,2,8.131758516,4.386494754
0.5,0.49,2,1,-2.6,2,8.036815555,4.42497882
0.5,0.51,2,1,-2.6,2,7.841975432,4.507548861
0.5,0.52,2,1,-2.6,2,7.741703071,4.552090908
0.5,0.53,2,1,-2.6,2,7.639188029,4.59919349
0.5,0.54,2,1,-2.6,2,7.534084138,4.649231604
0.5,0.55,2,1,-2.6,2,7.425937873,4.702686711
0.5,0.56,2,1,-2.6,2,7.314150688,4.760178118
0.5,0.57,2,1,-2.6,2,7.197911709,4.82253927
0.5,0.58,2,1,-2.6,2,7.076080627,4.890924706
0.5,0.59,2,1,-2.6,2,6.946983126,4.967025461
0.5,0.6,2,1,-2.6,2,6.807984701,5.053487176
0.5,0.5,1,1,-2.6,2,7.940275761,4.465261258
0.5,0.5,1.2,1,-2.6,2,7.940275244,4.465261258
0.5,0.5,1.4,1,-2.6,2,7.940275761,4.465260283
0.5,0.5,1.6,1,-2.6,2,7.940275761,4.465261258
0.5,0.5,1.8,1,-2.6,2,7.940276278,4.465261258
0.5,0.5,1.9,1,-2.6,2,7.940276278,4.465261258
0.5,0.5,2.1,1,-2.6,2,7.940276278,4.465261258
0.5,0.5,2.3,1,-2.6,2,7.940276278,4.465261258
0.5,0.5,2.5,1,-2.6,2,7.940276278,4.465260283
0.5,0.5,2.7,1,-2.6,2,7.940276278,4.465260283
0.5,0.5,2,1.1,-2.6,2,7.940276278,4.465261258
0.5,0.5,2,1.2,-2.6,2,7.940276278,4.465260283
0.5,0.5,2,1.3,-2.6,2,7.940276278,4.465260283
0.5,0.5,2,1.4,-2.6,2,7.940276278,4.465261258
0.5,0.5,2,1.5,-2.6,2,7.940276278,4.465261258
0.5,0.5,2,1.6,-2.6,2,7.940276278,4.465260283
0.5,0.5,2,1.7,-2.6,2,7.940276278,4.465260283
0.5,0.5,2,1.8,-2.6,2,7.940276278,4.465261258
0.5,0.5,2,1.9,-2.6,2,7.940276278,4.465261258
0.5,0.5,2,2,-2.6,2,7.940276278,4.465261258
0.5,0.5,2,1,-2.61,2,7.930937701,4.528396576
0.5,0.5,2,1,-2.62,2,7.920685532,4.592533096
0.5,0.5,2,1,-2.63,2,7.90945827,4.657727697
0.5,0.5,2,1,-2.64,2,7.897184293,4.72404663
0.5,0.5,2,1,-2.65,2,7.883784284,4.791566447
0.5,0.5,2,1,-2.66,2,7.869167915,4.860373013
0.5,0.5,2,1,-2.67,2,7.85323098,4.930566673
0.5,0.5,2,1,-2.68,2,7.835852968,5.002260825
0.5,0.5,2,1,-2.69,2,7.81689402,5.075595827
0.5,0.5,2,1,-2.7,2,7.796189121,5.150730544
0.5,0.5,2,1,-2.71,2,7.773541552,5.227856716
0.5,0.5,2,1,-2.72,2,7.748712888,5.307209298
0.5,0.5,2,1,-2.73,2,7.721412558,5.38907622
0.5,0.5,2,1,-2.74,2,7.691275611,5.4738184
0.5,0.5,2,1,-2.75,2,7.657835651,5.561897741
0.5,0.5,2,1,-2.76,2,7.620483228,5.65392068
0.5,0.5,2,1,-2.77,2,7.578387313,5.750713717
0.5,0.5,2,1,-2.78,2,7.530372107,5.853449778
0.5,0.5,2,1,-2.79,2,7.474669284,5.96389472
0.5,0.5,2,1,-2.8,2,7.408391799,6.084931164
0.5,0.5,2,1,-2.6,1.92,7.005520801,5.081890228
0.5,0.5,2,1,-2.6,1.93,7.151585319,4.975358498
0.5,0.5,2,1,-2.6,1.94,7.284810852,4.881734317
0.5,0.5,2,1,-2.6,1.95,7.40855858,4.797655179
0.5,0.5,2,1,-2.6,1.96,7.524945264,4.721002825
0.5,0.5,2,1,-2.6,1.97,7.63540704,4.65034283
0.5,0.5,2,1,-2.6,1.98,7.740969755,4.584645399
0.5,0.5,2,1,-2.6,1.99,7.842397233,4.523148026
0.5,0.5,2,1,-2.6,2.01,8.035068798,4.410522686
0.5,0.5,2,1,-2.6,2.02,8.127146334,4.358561227
0.5,0.5,2,1,-2.6,2.03,8.216812154,4.30907192
0.5,0.5,2,1,-2.6,2.04,8.304319715,4.261800938
0.5,0.5,2,1,-2.6,2.05,8.389880713,4.21653593
0.5,0.5,2,1,-2.6,2.06,8.473675224,4.173095127
0.5,0.5,2,1,-2.6,2.07,8.555859097,4.131322694
0.5,0.5,2,1,-2.6,2.08,8.636566514,4.091083478
0.5,0.5,2,1,-2.6,2.09,8.715914161,4.052260434
0.5,0.5,2,1,-2.6,2.1,8.794006013,4.01474955
0.5,0.5,2,1,-2.6,2.11,8.870932281,3.978458727
0.5,0.5,2,1,-2.6,2.12,8.946774741,3.943305384
