We,n,Pr,K,lambda,S,RENU_X(U),RENU_X(L)
0.5,0.5,2,1,-2.6,2,1.826845087,-0.032893102
0.51,0.5,2,1,-2.6,2,1.851687218,-0.090783755
0.52,0.5,2,1,-2.6,2,1.874873798,-0.147865562
0.53,0.5,2,1,-2.6,2,1.89659454,-0.204373869
0.54,0.5,2,1,-2.6,2,1.91700763,-0.260523548
0.55,0.5,2,1,-2.6,2,1.936246658,-0.316516889
0.56,0.5,2,1,-2.6,2,1.954426662,-0.372552666
0.57,0.5,2,1,-2.6,2,1.971646104,-0.42883072
0.58,0.5,2,1,-2.6,2,1.98799084,-0.48555633
0.59,0.5,2,1,-2.6,2,2.003535407,-0.542950274
0.6,0.5,2,1,-2.6,2,2.018346404,-0.601251415
0.61,0.5,2,1,-2.6,2,2.032481844,-0.660734417
0.62,0.5,2,1,-2.6,2,2.045993964,-0.721709364
0.63,0.5,2,1,-2.6,2,2.058928878,-0.784545544
0.64,0.5,2,1,-2.6,2,2.071328425,-0.849686183
0.65,0.5,2,1,-2.6,2,2.083229696,-0.917680777
0.66,0.5,2,1,-2.6,2,2.094666512,-0.989226955
0.67,0.5,2,1,-2.6,2,2.105669846,-1.065240498
0.68,0.5,2,1,-2.6,2,2.116267018,-1.146955852
0.7,0.5,2,1,-2.6,2,2.13634295,-1.335331232
0.5,0.4,2,1,-2.6,2,2.143805332,-0.46496627
0.5,0.41,2,1,-2.6,2,2.114576614,-0.420970004
0.5,0.42,2,1,-2.6,2,2.084851136,-0.377504433
0.5,0.43,2,1,-2.6,2,2.054622213,-0.334419008
0.5,0.44,2,1,-2.6,2,2.023876399,-0.291578339
0.5,0.45,2,1,-2.6,2,1.992594482,-0.248854892
0.5,0.46,2,1,-2.6,2,1.960748784,-0.206131669
0.5,0.47,2,1,-2.6,2,1.928303473,-0.163293166
0.5,0.48,2,1,-2.6,2,1.895212468,-0.120221253
0.5,0.49,2,1,-2.6,2,1.861417211,-0.076796412
0.5,0.51,2,1,-2.6,2,1.791405363,0.011628615
0.5,0.52,2,1,-2.6,2,1.75498477,0.056924715
0.5,0.53,2,1,-2.6,2,1.717441354,0.103174661
0.5,0.54,2,1,-2.6,2,1.678594267,0.150591215
0.5,0.55,2,1,-2.6,2,1.638211027,0.199435867
0.5,0.56,2,1,-2.6,2,1.595985461,0.250039668
0.5,0.57,2,1,-2.6,2,1.551504079,0.30283822
0.5,0.58,2,1,-2.6,2,1.504186466,0.358428459
0.5,0.59,2,1,-2.6,2,1.453181158,0.417677981
0.5,0.6,2,1,-2.6,2,1.397145424,0.481940206
0.5,0.5,1,1,-2.6,2,0.885060346,0.078964809
0.5,0.5,1.2,1,-2.6,2,1.046015064,0.052260305
0.5,0.5,1.4,1,-2.6,2,1.220327104,0.026079565
0.5,0.5,1.6,1,-2.6,2,1.408695573,0.001959998
0.5,0.5,1.8,1,-2.6,2,1.611092378,-0.018367451
0.5,0.5,1.9,1,-2.6,2,1.717362946,-0.026493351
0.5,0.5,2.1,1,-2.6,2,1.93938003,-0.037263062
0.5,0.5,2.3,1,-2.6,2,2.172889316,-0.038596623
0.5,0.5,2.5,1,-2.6,2,2.41637176,-0.027637722
0.5,0.5,2.7,1,-2.6,2,2.668284879,-0.001198
0.5,0.5,2,1.1,-2.6,2,1.846499185,-0.032792331
0.5,0.5,2,1.2,-2.6,2,1.865962653,-0.032555576
0.5,0.5,2,1.3,-2.6,2,1.885022575,-0.032153952
0.5,0.5,2,1.4,-2.6,2,1.903543183,-0.031558595
0.5,0.5,2,1.5,-2.6,2,1.921444108,-0.03073766
0.5,0.5,2,1.6,-2.6,2,1.938684535,-0.029663291
0.5,0.5,2,1.7,-2.6,2,1.955249849,-0.028306608
0.5,0.5,2,1.8,-2.6,2,1.971143232,-0.026638684
0.5,0.5,2,1.9,-2.6,2,1.986378698,-0.024633506
0.5,0.5,2,2,-2.6,2,2.000977601,-0.02226496
0.5,0.5,2,1,-2.61,2,1.816610314,0.019813055
0.5,0.5,2,1,-2.62,2,1.806074718,0.071116026
0.5,0.5,2,1,-2.63,2,1.79521539,0.12118427
0.5,0.5,2,1,-2.64,2,1.78400571,0.170167685
0.5,0.5,2,1,-2.65,2,1.772415746,0.218205344
0.5,0.5,2,1,-2.66,2,1.76041148,0.265426657
0.5,0.5,2,1,-2.67,2,1.747953083,0.311954481
0.5,0.5,2,1,-2.68,2,1.734995179,0.357909579
0.5,0.5,2,1,-2.69,2,1.721484066,0.403414139
0.5,0.5,2,1,-2.7,2,1.707355952,0.448590666
0.5,0.5,2,1,-2.71,2,1.692535028,0.493568677
0.5,0.5,2,1,-2.72,2,1.676928836,0.538489356
0.5,0.5,2,1,-2.73,2,1.660423512,0.583511321
0.5,0.5,2,1,-2.74,2,1.64287562,0.628817603
0.5,0.5,2,1,-2.75,2,1.624101438,0.674629605
0.5,0.5,2,1,-2.76,2,1.603858291,0.721224048
0.5,0.5,2,1,-2.77,2,1.581814022,0.768962811
0.5,0.5,2,1,-2.78,2,1.557495908,0.818347779
0.5,0.5,2,1,-2.79,2,1.530188585,0.87012123
0.5,0.5,2,1,-2.8,2,1.498714807,0.925483656
0.5,0.5,2,1,-2.6,1.92,1.485748001,0.530112017
0.5,0.5,2,1,-2.6,1.93,1.541661261,0.45173684
0.5,0.5,2,1,-2.6,1.94,1.59168005,0.377993946
0.5,0.5,2,1,-2.6,1.95,1.637382716,0.307203562
0.5,0.5,2,1,-2.6,1.96,1.679758361,0.238259019
0.5,0.5,2,1,-2.6,1.97,1.719475144,0.170361447
0.5,0.5,2,1,-2.6,1.98,1.757007597,0.102880409
0.5,0.5,2,1,-2.6,1.99,1.792707918,0.035289012
0.5,0.5,2,1,-2.6,2.01,1.859629994,-0.10212438
0.5,0.5,2,1,-2.6,2.02,1.891231738,-0.172871661
0.5,0.5,2,1,-2.6,2.03,1.921788145,-0.24564006
0.5,0.5,2,1,-2.6,2.04,1.951412846,-0.320995627
0.5,0.5,2,1,-2.6,2.05,1.980201586,-0.399606993
0.5,0.5,2,1,-2.6,2.06,2.00823465,-0.482298054
0.5,0.5,2,1,-2.6,2.07,2.035581927,-0.570122202
0.5,0.5,2,1,-2.6,2.08,2.062302723,-0.664486609
0.5,0.5,2,1,-2.6,2.09,2.088449163,-0.767366968
0.5,0.5,2,1,-2.6,2.1,2.114066618,-0.881677562
0.5,0.5,2,1,-2.6,2.11,2.13919547,-1.012040017
0.5,0.5,2,1,-2.6,2.12,2.163871074,-1.166493658
