We,n,Pr,K,lambda,S,RENU_X(U),RENU_X(L),RENU_X(U)_Pred,RENU_X(L)_Pred
0.5,0.5,2,1,-2.6,2,1.826845087,-0.032893102,1.828272029,-0.033613168
0.51,0.5,2,1,-2.6,2,1.851687218,-0.090783755,1.851247235,-0.090780468
0.52,0.5,2,1,-2.6,2,1.874873798,-0.147865562,1.873462279,-0.147626973
0.53,0.5,2,1,-2.6,2,1.89659454,-0.204373869,1.894876472,-0.204184139
0.54,0.5,2,1,-2.6,2,1.91700763,-0.260523548,1.915454927,-0.260516288
0.55,0.5,2,1,-2.6,2,1.936246658,-0.316516889,1.935164212,-0.316718413
0.56,0.5,2,1,-2.6,2,1.954426662,-0.372552666,1.953970147,-0.372915526
0.57,0.5,2,1,-2.6,2,1.971646104,-0.42883072,1.971838408,-0.429264118
0.58,0.5,2,1,-2.6,2,1.98799084,-0.48555633,1.988738318,-0.485955862
0.59,0.5,2,1,-2.6,2,2.003535407,-0.542950274,2.004649866,-0.543223233
0.6,0.5,2,1,-2.6,2,2.018346404,-0.601251415,2.019573579,-0.601346101
0.61,0.5,2,1,-2.6,2,2.032481844,-0.660734417,2.033542382,-0.6606578
0.62,0.5,2,1,-2.6,2,2.045993964,-0.721709364,2.046633948,-0.72154855
0.63,0.5,2,1,-2.6,2,2.058928878,-0.784545544,2.058981363,-0.784463577
0.64,0.5,2,1,-2.6,2,2.071328425,-0.849686183,2.070779138,-0.84989287
0.65,0.5,2,1,-2.6,2,2.083229696,-0.917680777,2.082280901,-0.918349401
0.66,0.5,2,1,-2.6,2,2.094666512,-0.989226955,2.093784793,-0.990333028
0.67,0.5,2,1,-2.6,2,2.105669846,-1.065240498,2.105603137,-1.066278573
0.68,0.5,2,1,-2.6,2,2.116267018,-1.146955852,2.118015011,-1.146489047
0.7,0.5,2,1,-2.6,2,2.13634295,-1.335331232,2.145192859,-1.31979723
0.5,0.4,2,1,-2.6,2,2.143805332,-0.46496627,2.145049494,-0.46388012
0.5,0.41,2,1,-2.6,2,2.114576614,-0.420970004,2.11409222,-0.420984551
0.5,0.42,2,1,-2.6,2,2.084851136,-0.377504433,2.083802708,-0.377843365
0.5,0.43,2,1,-2.6,2,2.054622213,-0.334419008,2.053736328,-0.334668209
0.5,0.44,2,1,-2.6,2,2.023876399,-0.291578339,2.023537752,-0.291576648
0.5,0.45,2,1,-2.6,2,1.992594482,-0.248854892,1.992932837,-0.248611545
0.5,0.46,2,1,-2.6,2,1.960748784,-0.206131669,1.961716424,-0.20575697
0.5,0.47,2,1,-2.6,2,1.928303473,-0.163293166,1.92973852,-0.162949956
0.5,0.48,2,1,-2.6,2,1.895212468,-0.120221253,1.896890234,-0.120088086
0.5,0.49,2,1,-2.6,2,1.861417211,-0.076796412,1.863090209,-0.077033353
0.5,0.51,2,1,-2.6,2,1.791405363,0.011628615,1.792373058,0.010380301
0.5,0.52,2,1,-2.6,2,1.75498477,0.056924715,1.755325263,0.055190946
0.5,0.53,2,1,-2.6,2,1.717441354,0.103174661,1.717048738,0.101098043
0.5,0.54,2,1,-2.6,2,1.678594267,0.150591215,1.677448655,0.148412375
0.5,0.55,2,1,-2.6,2,1.638211027,0.199435867,1.636416318,0.197467793
0.5,0.56,2,1,-2.6,2,1.595985461,0.250039668,1.593834655,0.248607376
0.5,0.57,2,1,-2.6,2,1.551504079,0.30283822,1.549588005,0.302164284
0.5,0.58,2,1,-2.6,2,1.504186466,0.358428459,1.503575406,0.358438455
0.5,0.59,2,1,-2.6,2,1.453181158,0.417677981,1.455725966,0.417671303
0.5,0.6,2,1,-2.6,2,1.397145424,0.481940206,1.406014406,0.480021366
0.5,0.5,1,1,-2.6,2,0.885060346,0.078964809,0.885483317,0.078552981
0.5,0.5,1.2,1,-2.6,2,1.046015064,0.052260305,1.05731944,0.059731464
0.5,0.5,1.4,1,-2.6,2,1.220327104,0.026079565,1.229991975,0.033130271
0.5,0.5,1.6,1,-2.6,2,1.408695573,0.001959998,1.411835732,0.005300934
0.5,0.5,1.8,1,-2.6,2,1.611092378,-0.018367451,1.610126116,-0.018261655
0.5,0.5,1.9,1,-2.6,2,1.717362946,-0.026493351,1.716751298,-0.027137419
