We,n,Pr,K,lambda,S,REXC_F(U),REXC_F(L),REXC_F(U)_Pred,REXC_F(L)_Pred
0.5,0.5,2,1,-2.6,2,7.940276278,4.465260283,7.940656566,4.465245994
0.51,0.5,2,1,-2.6,2,8.016415582,4.410628892,8.018057575,4.409569076
0.52,0.5,2,1,-2.6,2,8.087718229,4.358853191,8.089430599,4.357722305
0.53,0.5,2,1,-2.6,2,8.154638924,4.309612239,8.155732138,4.308945986
0.54,0.5,2,1,-2.6,2,8.217570127,4.262639529,8.217803233,4.262592667
0.55,0.5,2,1,-2.6,2,8.276852374,4.217711704,8.27633798,4.218152447
0.56,0.5,2,1,-2.6,2,8.332786783,4.174640478,8.331863454,4.175267852
0.57,0.5,2,1,-2.6,2,8.385640067,4.133263955,8.384735072,4.133734462
0.58,0.5,2,1,-2.6,2,8.435649158,4.093441971,8.435150633,4.093484102
0.59,0.5,2,1,-2.6,2,8.483027119,4.055053451,8.483183383,4.054550092
0.6,0.5,2,1,-2.6,2,8.527966211,4.017991164,8.528830131,4.017018242
0.61,0.5,2,1,-2.6,2,8.570638952,3.982161191,8.572066386,3.98097119
0.62,0.5,2,1,-2.6,2,8.611203149,3.947480623,8.612898506,3.946435653
0.63,0.5,2,1,-2.6,2,8.649801452,3.913873627,8.651403967,3.913341081
0.64,0.5,2,1,-2.6,2,8.686564179,3.881274641,8.687754623,3.881494678
0.65,0.5,2,1,-2.6,2,8.721610716,3.849621929,8.722222455,3.850573289
0.66,0.5,2,1,-2.6,2,8.755050377,3.818862571,8.755171152,3.820129081
0.67,0.5,2,1,-2.6,2,8.786983483,3.788944465,8.787038727,3.789604261
0.68,0.5,2,1,-2.6,2,8.817501976,3.759824728,8.81831632,3.7583503
0.7,0.5,2,1,-2.6,2,8.874630185,3.703814611,8.881207034,3.690731578
0.5,0.4,2,1,-2.6,2,8.843410332,4.126864045,8.84367002,4.126640054
0.5,0.41,2,1,-2.6,2,8.758836315,4.155559743,8.758409926,4.156129959
0.5,0.42,2,1,-2.6,2,8.673004172,4.185172235,8.672615752,4.185688284
0.5,0.43,2,1,-2.6,2,8.58593754,4.215767251,8.585895119,4.215842477
0.5,0.44,2,1,-2.6,2,8.497644043,4.247421028,8.497994438,4.246982017
0.5,0.45,2,1,-2.6,2,8.40811542,4.280217281,8.408763168,4.27938493
0.5,0.46,2,1,-2.6,2,8.317326296,4.314252184,8.318119445,4.313242799
0.5,0.47,2,1,-2.6,2,8.225230069,4.349635056,8.2260203,4.348683169
0.5,0.48,2,1,-2.6,2,8.131758516,4.386494754,8.132437256,4.385789923
0.5,0.49,2,1,-2.6,2,8.036815555,4.42497882,8.037335936,4.424623743
0.5,0.51,2,1,-2.6,2,7.841975432,4.507548861,7.842291367,4.507749818
0.5,0.52,2,1,-2.6,2,7.741703071,4.552090908,7.742055865,4.552300907
0.5,0.53,2,1,-2.6,2,7.639188029,4.59919349,7.639655008,4.599186409
0.5,0.54,2,1,-2.6,2,7.534084138,4.649231604,7.534652103,4.648863292
0.5,0.55,2,1,-2.6,2,7.425937873,4.702686711,7.426457049,4.701988991
0.5,0.56,2,1,-2.6,2,7.314150688,4.760178118,7.314355312,4.759412068
0.5,0.57,2,1,-2.6,2,7.197911709,4.82253927,7.197594059,4.8221051
0.5,0.58,2,1,-2.6,2,7.076080627,4.890924706,7.075523796,4.891039114
0.5,0.59,2,1,-2.6,2,6.946983126,4.967025461,6.947768634,4.967022946
0.5,0.6,2,1,-2.6,2,6.807984701,5.053487176,6.814379889,5.050548614
0.5,0.5,1,1,-2.6,2,7.940275761,4.465261258,7.940545959,4.46495008
0.5,0.5,1.2,1,-2.6,2,7.940275244,4.465261258,7.940182285,4.469765107
0.5,0.5,1.4,1,-2.6,2,7.940275761,4.465260283,7.939811835,4.4708481
0.5,0.5,1.6,1,-2.6,2,7.940275761,4.465261258,7.939779975,4.469697723
0.5,0.5,1.8,1,-2.6,2,7.940276278,4.465261258,7.940123344,4.46748845
0.5,0.5,1.9,1,-2.6,2,7.940276278,4.465261258,7.940384687,4.466309624
0.5,0.5,2.1,1,-2.6,2,7.940276278,4.465261258,7.940891539,4.464420297
0.5,0.5,2.3,1,-2.6,2,7.940276278,4.465261258,7.941034694,4.463972227
0.5,0.5,2.5,1,-2.6,2,7.940276278,4.465260283,7.940376163,4.465907855
0.5,0.5,2.7,1,-2.6,2,7.940276278,4.465260283,7.938580245,4.470986718
0.5,0.5,2,1.1,-2.6,2,7.940276278,4.465261258,7.939348715,4.465813513
0.5,0.5,2,1.2,-2.6,2,7.940276278,4.465260283,7.939700035,4.465708415
0.5,0.5,2,1.3,-2.6,2,7.940276278,4.465260283,7.940552481,4.465176801
0.5,0.5,2,1.4,-2.6,2,7.940276278,4.465261258,7.941064661,4.464781498
0.5,0.5,2,1.5,-2.6,2,7.940276278,4.465261258,7.940901784,4.464917225
0.5,0.5,2,1.6,-2.6,2,7.940276278,4.465260283,7.940328598,4.46542167
0.5,0.5,2,1.7,-2.6,2,7.940276278,4.465260283,7.939990321,4.465652435
0.5,0.5,2,1.8,-2.6,2,7.940276278,4.465261258,7.940337503,4.465126232
0.5,0.5,2,1.9,-2.6,2,7.940276278,4.465261258,7.940961798,4.464337848
0.5,0.5,2,2,-2.6,2,7.940276278,4.465261258,7.940201703,4.465232356
0.5,0.5,2,1,-2.61,2,7.930937701,4.528396576,7.931201449,4.527498745
0.5,0.5,2,1,-2.62,2,7.920685532,4.592533096,7.920841771,4.59126832
0.5,0.5,2,1,-2.63,2,7.90945827,4.657727697,7.909509206,4.656493414
0.5,0.5,2,1,-2.64,2,7.897184293,4.72404663,7.897133222,4.723119267
0.5,0.5,2,1,-2.65,2,7.883784284,4.791566447,7.883639752,4.79110284
0.5,0.5,2,1,-2.66,2,7.869167915,4.860373013,7.868948876,4.860418968
0.5,0.5,2,1,-2.67,2,7.85323098,4.930566673,7.852971147,4.931067642
0.5,0.5,2,1,-2.68,2,7.835852968,5.002260825,7.835602178,5.003082589
0.5,0.5,2,1,-2.69,2,7.81689402,5.075595827,7.816715064,5.07654135
0.5,0.5,2,1,-2.7,2,7.796189121,5.150730544,7.796150203,5.15157704
0.5,0.5,2,1,-2.71,2,7.773541552,5.227856716,7.773702197,5.22839187
0.5,0.5,2,1,-2.72,2,7.748712888,5.307209298,7.7491037,5.307272302
0.5,0.5,2,1,-2.73,2,7.721412558,5.38907622,7.722006586,5.388605264
0.5,0.5,2,1,-2.74,2,7.691275611,5.4738184,7.691961591,5.472894069
0.5,0.5,2,1,-2.75,2,7.657835651,5.561897741,7.658398972,5.560771425
0.5,0.5,2,1,-2.76,2,7.620483228,5.65392068,7.620614683,5.653005037
0.5,0.5,2,1,-2.77,2,7.578387313,5.750713717,7.577769217,5.750488821
0.5,0.5,2,1,-2.78,2,7.530372107,5.853449778,7.52890919,5.854210029
0.5,0.5,2,1,-2.79,2,7.474669284,5.96389472,7.473023921,5.965180635
0.5,0.5,2,1,-2.8,2,7.408391799,6.084931164,7.409148621,6.084322209
0.5,0.5,2,1,-2.6,1.92,7.005520801,5.081890228,7.008250336,5.07859657
0.5,0.5,2,1,-2.6,1.93,7.151585319,4.975358498,7.149597803,4.977511916
0.5,0.5,2,1,-2.6,1.94,7.284810852,4.881734317,7.282765284,4.884246267
0.5,0.5,2,1,-2.6,1.95,7.40855858,4.797655179,7.408047702,4.79867406
0.5,0.5,2,1,-2.6,1.96,7.524945264,4.721002825,7.525996498,4.720387212
0.5,0.5,2,1,-2.6,1.97,7.63540704,4.65034283,7.637353557,4.648744832
0.5,0.5,2,1,-2.6,1.98,7.740969755,4.584645399,7.742980094,4.582939575
0.5,0.5,2,1,-2.6,1.99,7.842397233,4.523148026,7.843784969,4.522074973
0.5,0.5,2,1,-2.6,2.01,8.035068798,4.410522686,8.034402184,4.41161411
0.5,0.5,2,1,-2.6,2.02,8.127146334,4.358561227,8.125698853,4.360468782
0.5,0.5,2,1,-2.6,2.03,8.216812154,4.30907192,8.215059275,4.311269373
0.5,0.5,2,1,-2.6,2.04,8.304319715,4.261800938,8.30281596,4.263664612
0.5,0.5,2,1,-2.6,2.05,8.389880713,4.21653593,8.389125194,4.217490082
0.5,0.5,2,1,-2.6,2.06,8.473675224,4.173095127,8.473990395,4.172747072
0.5,0.5,2,1,-2.6,2.07,8.555859097,4.131322694,8.557301718,4.129568083
0.5,0.5,2,1,-2.6,2.08,8.636566514,4.091083478,8.638886277,4.088175144
0.5,0.5,2,1,-2.6,2.09,8.715914161,4.052260434,8.718561578,4.048836922
0.5,0.5,2,1,-2.6,2.1,8.794006013,4.01474955,8.796184295,4.011829643
0.5,0.5,2,1,-2.6,2.11,8.870932281,3.978458727,8.871687518,3.977405302
0.5,0.5,2,1,-2.6,2.12,8.946774741,3.943305384,8.945101835,3.945768994
